Name,Rating,Date,flat_reviews
,5.0,Dec 22 2016,",show,,,awesome,,season,,,scars,,twists,,,,place,,show,,,done,,well,,would,suggest,,,,person,,loves,,good,scare"
,5.0,Dec 20 2016,"amazing,series,,want,,season"
,5.0,Dec 20 2016,"excellent,series,,want,second,season"
,5.0,Dec 20 2016,",want,,see,,seasons"
,5.0,Dec 20 2016,"smart,,scar,,much,needed,continuation,,,exorcise,sage,,wellwritten,wonderfully,acted,,beautifully,shot,shows,like,,,scarce"
,5.0,Dec 19 2016,"super,compelling,,To,He,Honest,,believe,,things,,truly,happening,,,somewhere"
,5.0,Dec 19 2016,"fantastic,,wait,,season,2,5,,,5,stars"
,4.5,Dec 19 2016,",exorcise,delivers,,strong,well,tied,plot,,,great,cast,,characters,surprisingly,,storyline,,strong,scar,,even,compelling,,return,,,davis,,,screen,,fantastic,,,ending,makes,,,definite,horror,flick,,2016,,,weak,dont,watch,alone,"
,5.0,Dec 19 2016,",,skeptically,,first,,,,pilot,going,forward,,show,exceeded,expectations,,pacing,,great,,,show,focused,,,character,development,,equal,parts,,,horror,elements,,makes,,show,,satisfying,viewing,,emotional,experience"
,5.0,Dec 19 2016,",show,,absolutely,amazing,great,acting,,well,written"
,5.0,Dec 18 2016,"wish,,would,known,,,hidden,gem,sooner,,well,scraped,,highly,entertaining,,wait,,season,2"
,5.0,Dec 18 2016,",favorite,show"
,4.5,Dec 18 2016,"one,,,,surprising,shows,,,year,,,extremely,compelling,characters,,,incredible,performances,,twists,,,really,never,see,coming,,also,includes,,genuinely,bone,shilling,scars,,,fantastic,overall,story,,,,far,one,,,best,things,fox,,done,,,long,time,,definitely,,great,step,,,right,directions,,movie,,,adaptations,,,,much,better,,,,,,makes,,,interested,,,,could,go,,,,,get,renewed,,,season,2,overall,grade,,,season,455,,,"
,4.5,Dec 18 2016,",,shame,,show,,,friday,nights"
,5.0,Dec 17 2016,",marvelous,series,,hope,,second,season"
,5.0,Dec 17 2016,"bring,back,,show,,,second,season,,think,,rocks"
,5.0,Dec 17 2016,",,,far,,best,,series,,,ever,watched,,,,skeptically,,,beginning,due,,,fact,,,movie,,ironic,,,show,surpassed,,expectations,,,long,shot,hoping,,,season,two"
,5.0,Dec 17 2016,"excellent,series,well,done,great,actors,,new,shows,go,overboard,trying,,impress,,end,,attempting,,,,much,,exorcise,remained,controlled,well,paced,,gripping,,,,sorry,,see,,one,go,,,,get,renewed,,,,much,looked,forward,,,,make,crew,deserves,,thousand,gold,medals,,notice,,got,,higher,rating,,,,walking,dead"
,5.0,Dec 17 2016,",plot,,well,written,,,,necessary,elements,,good,horror,show,must,,,exorcise,,,,talented,cast,,,,satisfying,ending,,,like,,complete,story,,narrated,,,10,episodes,,show,,plot,beautifully,unfold,,,twist,,every,turn,,connecting,every,dot,,,end,,really,hope,,show,gets,another,chance,,,returns,,,second,season,,another,adventure,awaits,,two,exercises"
,5.0,Dec 16 2016,",,,far,,best,,,entertaining,show,,,seen,,television,maybe,ever,,,,show,,,would,put,,,par,,,hannibal,,fox,cancers,,show,,,,obviously,run,,idiot"
,5.0,Dec 16 2016,",nice,tight,plot,great,acting"
,3.0,Dec 14 2016,"ok,,started,,,intentions,,,two,grand,,would,,preferred,,simpler,,focused,first,season"
,5.0,Dec 10 2016,",good,story,,,plot,,catches,,merchants"
,4.0,Dec 10 2016,"great,show,please,let,,,,season,2"
,5.0,Dec 9 2016,",,,new,favorite,show,please,let,,,,season,2"
,5.0,Dec 8 2016,"absolutely,love,everything,bought,,show,,wish,,could,,longer,,,hour,allons,always,,mi,corazòn"
,5.0,Dec 7 2016,"brilliant,brilliant,brilliant"
